
Node1 Node2 Boh Boh1 Color
57 1 1 c Blue
53 1 1 c Red
28 2 1 c Blue
56 2 1 c Red
84 3 1 c Blue
3 3 1 c Blue
46 4 1 c Blue
89 4 1 c Red
90 5 1 c Blue
64 5 1 c Red
69 6 1 c Blue
49 6 1 c Red
17 7 1 c Blue
55 7 1 c Red
28 8 1 c Blue
21 8 1 c Blue
98 9 1 c Blue
25 9 1 c Red
14 10 1 c Blue
24 10 1 c Red
56 11 1 c Red
93 11 1 c Red
43 12 1 c Blue
86 12 1 c Red
4 13 1 c Blue
76 13 1 c Red
24 14 1 c Blue
71 14 1 c Red
40 15 1 c Blue
31 15 1 c Red
41 16 1 c Blue
35 16 1 c Red
65 17 1 c Blue
59 17 1 c Red
65 18 1 c Blue
80 18 1 c Red
10 19 1 c Blue
15 19 1 c Blue
4 20 1 c Blue
90 20 1 c Blue
84 21 1 c Blue
35 21 1 c Red
84 22 1 c Red
31 22 1 c Red
45 23 1 c Blue
92 23 1 c Red
17 24 1 c Blue
40 24 1 c Red
41 25 1 c Red
94 25 1 c Red
51 26 1 c Blue
44 26 1 c Red
25 27 1 c Blue
100 27 1 c Blue
65 28 1 c Red
70 28 1 c Red
26 29 1 c Blue
78 29 1 c Red
46 30 1 c Red
59 30 1 c Red
55 31 1 c Red
30 31 1 c Red
12 32 1 c Blue
36 32 1 c Blue
58 33 1 c Blue
99 33 1 c Red
39 34 1 c Red
54 34 1 c Red
74 35 1 c Blue
8 35 1 c Red
74 36 1 c Blue
23 36 1 c Blue
38 37 1 c Red
15 37 1 c Red
4 38 1 c Blue
96 38 1 c Blue
90 39 1 c Blue
42 39 1 c Blue
98 40 1 c Red
19 40 1 c Red
23 41 1 c Blue
100 41 1 c Red
84 42 1 c Red
75 42 1 c Red
81 43 1 c Blue
33 43 1 c Blue
45 44 1 c Red
58 44 1 c Red
34 45 1 c Blue
94 45 1 c Red
13 46 1 c Red
74 46 1 c Red
32 47 1 c Red
33 47 1 c Red
70 48 1 c Blue
74 48 1 c Blue
89 49 1 c Blue
28 49 1 c Red
58 50 1 c Blue
87 50 1 c Blue
78 51 1 c Red
40 51 1 c Red
33 52 1 c Blue
22 52 1 c Red
87 53 1 c Red
5 53 1 c Red
56 54 1 c Red
36 54 1 c Red
12 55 1 c Red
15 55 1 c Red
83 56 1 c Blue
14 56 1 c Blue
20 57 1 c Blue
92 57 1 c Blue
17 58 1 c Blue
93 58 1 c Red
4 59 1 c Red
76 59 1 c Red
86 60 1 c Blue
94 60 1 c Blue
31 61 1 c Blue
42 61 1 c Blue
50 62 1 c Red
62 62 1 c Red
4 63 1 c Blue
67 63 1 c Red
65 64 1 c Blue
40 64 1 c Red
29 65 1 c Red
79 65 1 c Red
9 66 1 c Blue
65 66 1 c Red
76 67 1 c Red
43 67 1 c Red
53 68 1 c Blue
13 68 1 c Blue
95 69 1 c Blue
25 69 1 c Red
53 70 1 c Blue
36 70 1 c Blue
32 71 1 c Blue
27 71 1 c Red
2 72 1 c Blue
63 72 1 c Red
6 73 1 c Blue
56 73 1 c Red
33 74 1 c Blue
25 74 1 c Red
36 75 1 c Blue
66 75 1 c Red
88 76 1 c Red
59 76 1 c Red
71 77 1 c Blue
8 77 1 c Blue
24 78 1 c Blue
46 78 1 c Blue
40 79 1 c Blue
69 79 1 c Red
58 80 1 c Blue
100 80 1 c Red
86 81 1 c Blue
30 81 1 c Blue
63 82 1 c Blue
2 82 1 c Red
73 83 1 c Red
56 83 1 c Red
65 84 1 c Blue
26 84 1 c Blue
11 85 1 c Blue
31 85 1 c Red
71 86 1 c Blue
31 86 1 c Red
98 87 1 c Blue
89 87 1 c Red
24 88 1 c Blue
11 88 1 c Red
67 89 1 c Red
94 89 1 c Red
10 90 1 c Blue
98 90 1 c Blue
60 91 1 c Blue
56 91 1 c Red
16 92 1 c Red
40 92 1 c Red
16 93 1 c Blue
55 93 1 c Blue
4 94 1 c Blue
84 94 1 c Red
24 95 1 c Red
59 95 1 c Red
21 96 1 c Blue
19 96 1 c Blue
28 97 1 c Blue
57 97 1 c Red
45 98 1 c Blue
19 98 1 c Blue
59 99 1 c Blue
32 99 1 c Red
39 100 1 c Blue
22 100 1 c Blue
