	datetime	speed
0	201501010000	NaN
1	201501010100	NaN
2	201501010200	NaN
3	201501010300	NaN
4	201501010400	NaN
5	201501010500	NaN
6	201501010600	NaN
7	201501010700	NaN
8	201501010800	NaN
9	201501010900	NaN
10	201501011000	NaN
11	201501011100	NaN
12	201501011200	NaN
13	201501011300	NaN
14	201501011400	NaN
15	201501011500	NaN
16	201501011600	NaN
17	201501011700	NaN
18	201501011800	NaN
19	201501011900	NaN
20	201501012000	NaN
21	201501012100	NaN
22	201501012200	NaN
23	201501012300	NaN
24	201501020000	NaN
25	201501020100	NaN
26	201501020200	NaN
27	201501020300	NaN
28	201501020400	NaN
29	201501020500	NaN
30	201501020600	NaN
31	201501020700	NaN
32	201501020800	NaN
33	201501020900	NaN
34	201501021000	NaN
35	201501021100	NaN
36	201501021200	NaN
37	201501021300	NaN
38	201501021400	NaN
39	201501021500	NaN
40	201501021600	NaN
41	201501021700	NaN
42	201501021800	NaN
43	201501021900	NaN
44	201501022000	NaN
45	201501022100	NaN
46	201501022200	NaN
47	201501022300	NaN
48	201501030000	NaN
49	201501030100	NaN
50	201501030200	NaN
51	201501030300	NaN
52	201501030400	NaN
53	201501030500	NaN
54	201501030600	NaN
55	201501030700	NaN
56	201501030800	NaN
57	201501030900	NaN
58	201501031000	NaN
59	201501031100	NaN
60	201501031200	NaN
61	201501031300	NaN
62	201501031400	NaN
63	201501031500	NaN
64	201501031600	NaN
65	201501031700	NaN
66	201501031800	NaN
67	201501031900	NaN
68	201501032000	NaN
69	201501032100	NaN
70	201501032200	NaN
71	201501032300	NaN
72	201501040000	NaN
73	201501040100	NaN
74	201501040200	NaN
75	201501040300	NaN
76	201501040400	NaN
77	201501040500	NaN
78	201501040600	NaN
79	201501040700	NaN
80	201501040800	NaN
81	201501040900	NaN
82	201501041000	NaN
83	201501041100	NaN
84	201501041200	NaN
85	201501041300	NaN
86	201501041400	NaN
87	201501041500	NaN
88	201501041600	NaN
89	201501041700	NaN
90	201501041800	NaN
91	201501041900	NaN
92	201501042000	NaN
93	201501042100	NaN
94	201501042200	NaN
95	201501042300	NaN
96	201501050000	NaN
97	201501050100	NaN
98	201501050200	NaN
99	201501050300	NaN
100	201501050400	NaN
101	201501050500	NaN
102	201501050600	NaN
103	201501050700	NaN
104	201501050800	NaN
105	201501050900	NaN
106	201501051000	NaN
107	201501051100	NaN
108	201501051200	NaN
109	201501051300	NaN
110	201501051400	NaN
111	201501051500	NaN
112	201501051600	NaN
113	201501051700	NaN
114	201501051800	NaN
115	201501051900	NaN
116	201501052000	NaN
117	201501052100	NaN
118	201501052200	NaN
119	201501052300	NaN
120	201501060000	NaN
121	201501060100	NaN
122	201501060200	NaN
123	201501060300	NaN
124	201501060400	NaN
125	201501060500	NaN
126	201501060600	NaN
127	201501060700	NaN
128	201501060800	NaN
129	201501060900	NaN
130	201501061000	NaN
131	201501061100	NaN
132	201501061200	NaN
133	201501061300	NaN
134	201501061400	NaN
135	201501061500	NaN
136	201501061600	NaN
137	201501061700	NaN
138	201501061800	NaN
139	201501061900	NaN
140	201501062000	NaN
141	201501062100	NaN
142	201501062200	NaN
143	201501062300	NaN
144	201501070000	NaN
145	201501070100	NaN
146	201501070200	NaN
147	201501070300	NaN
148	201501070400	NaN
149	201501070500	NaN
150	201501070600	NaN
151	201501070700	NaN
152	201501070800	NaN
153	201501070900	NaN
154	201501071000	NaN
155	201501071100	NaN
156	201501071200	NaN
157	201501071300	NaN
158	201501071400	NaN
159	201501071500	NaN
160	201501071600	NaN
161	201501071700	NaN
162	201501071800	NaN
163	201501071900	NaN
164	201501072000	NaN
165	201501072100	NaN
166	201501072200	NaN
167	201501072300	NaN
168	201501080000	NaN
169	201501080100	NaN
170	201501080200	NaN
171	201501080300	NaN
172	201501080400	NaN
173	201501080500	NaN
174	201501080600	NaN
175	201501080700	NaN
176	201501080800	NaN
177	201501080900	NaN
178	201501081000	NaN
179	201501081100	NaN
180	201501081200	NaN
181	201501081300	NaN
182	201501081400	NaN
183	201501081500	NaN
184	201501081600	NaN
185	201501081700	NaN
186	201501081800	NaN
187	201501081900	NaN
188	201501082000	NaN
189	201501082100	NaN
190	201501082200	NaN
191	201501082300	NaN
192	201501090000	NaN
193	201501090100	NaN
194	201501090200	NaN
195	201501090300	NaN
196	201501090400	NaN
197	201501090500	NaN
198	201501090600	NaN
199	201501090700	NaN
200	201501090800	NaN
201	201501090900	NaN
202	201501091000	NaN
203	201501091100	NaN
204	201501091200	NaN
205	201501091300	NaN
206	201501091400	NaN
207	201501091500	NaN
208	201501091600	NaN
209	201501091700	NaN
210	201501091800	NaN
211	201501091900	NaN
212	201501092000	NaN
213	201501092100	NaN
214	201501092200	NaN
215	201501092300	NaN
216	201501100000	NaN
217	201501100100	NaN
218	201501100200	NaN
219	201501100300	NaN
220	201501100400	NaN
221	201501100500	NaN
222	201501100600	NaN
223	201501100700	NaN
224	201501100800	NaN
225	201501100900	NaN
226	201501101000	NaN
227	201501101100	NaN
228	201501101200	NaN
229	201501101300	NaN
230	201501101400	NaN
231	201501101500	NaN
232	201501101600	NaN
233	201501101700	NaN
234	201501101800	NaN
235	201501101900	NaN
236	201501102000	NaN
237	201501102100	NaN
238	201501102200	NaN
239	201501102300	NaN
240	201501110000	NaN
241	201501110100	NaN
242	201501110200	NaN
243	201501110300	NaN
244	201501110400	NaN
245	201501110500	NaN
246	201501110600	NaN
247	201501110700	NaN
248	201501110800	NaN
249	201501110900	NaN
250	201501111000	NaN
251	201501111100	NaN
252	201501111200	NaN
253	201501111300	NaN
254	201501111400	NaN
255	201501111500	NaN
256	201501111600	NaN
257	201501111700	NaN
258	201501111800	NaN
259	201501111900	NaN
260	201501112000	NaN
261	201501112100	NaN
262	201501112200	NaN
263	201501112300	NaN
264	201501120000	NaN
265	201501120100	NaN
266	201501120200	NaN
267	201501120300	NaN
268	201501120400	NaN
269	201501120500	NaN
270	201501120600	NaN
271	201501120700	NaN
272	201501120800	NaN
273	201501120900	NaN
274	201501121000	NaN
275	201501121100	NaN
276	201501121200	NaN
277	201501121300	NaN
278	201501121400	NaN
279	201501121500	NaN
280	201501121600	NaN
281	201501121700	NaN
282	201501121800	NaN
283	201501121900	NaN
284	201501122000	NaN
285	201501122100	NaN
286	201501122200	NaN
287	201501122300	NaN
288	201501130000	NaN
289	201501130100	NaN
290	201501130200	NaN
291	201501130300	NaN
292	201501130400	NaN
293	201501130500	NaN
294	201501130600	NaN
295	201501130700	NaN
296	201501130800	NaN
297	201501130900	NaN
298	201501131000	NaN
299	201501131100	NaN
300	201501131200	NaN
301	201501131300	NaN
302	201501131400	NaN
303	201501131500	NaN
304	201501131600	NaN
305	201501131700	NaN
306	201501131800	NaN
307	201501131900	NaN
308	201501132000	NaN
309	201501132100	NaN
310	201501132200	NaN
311	201501132300	NaN
312	201501140000	NaN
313	201501140100	NaN
314	201501140200	NaN
315	201501140300	NaN
316	201501140400	NaN
317	201501140500	NaN
318	201501140600	NaN
319	201501140700	NaN
320	201501140800	NaN
321	201501140900	NaN
322	201501141000	NaN
323	201501141100	NaN
324	201501141200	NaN
325	201501141300	NaN
326	201501141400	NaN
327	201501141500	NaN
328	201501141600	NaN
329	201501141700	NaN
330	201501141800	NaN
331	201501141900	NaN
332	201501142000	NaN
333	201501142100	NaN
334	201501142200	NaN
335	201501142300	NaN
336	201501150000	NaN
337	201501150100	NaN
338	201501150200	NaN
339	201501150300	NaN
340	201501150400	NaN
341	201501150500	NaN
342	201501150600	NaN
343	201501150700	NaN
344	201501150800	NaN
345	201501150900	NaN
346	201501151000	NaN
347	201501151100	NaN
348	201501151200	NaN
349	201501151300	NaN
350	201501151400	NaN
351	201501151500	NaN
352	201501151600	NaN
353	201501151700	NaN
354	201501151800	NaN
355	201501151900	NaN
356	201501152000	NaN
357	201501152100	NaN
358	201501152200	NaN
359	201501152300	NaN
360	201501160000	NaN
361	201501160100	NaN
362	201501160200	NaN
363	201501160300	NaN
364	201501160400	NaN
365	201501160500	NaN
366	201501160600	NaN
367	201501160700	NaN
368	201501160800	NaN
369	201501160900	NaN
370	201501161000	NaN
371	201501161100	NaN
372	201501161200	NaN
373	201501161300	NaN
374	201501161400	NaN
375	201501161500	NaN
376	201501161600	NaN
377	201501161700	NaN
378	201501161800	NaN
379	201501161900	NaN
380	201501162000	NaN
381	201501162100	NaN
382	201501162200	NaN
383	201501162300	NaN
384	201501170000	NaN
385	201501170100	NaN
386	201501170200	NaN
387	201501170300	NaN
388	201501170400	NaN
389	201501170500	NaN
390	201501170600	NaN
391	201501170700	NaN
392	201501170800	NaN
393	201501170900	NaN
394	201501171000	NaN
395	201501171100	NaN
396	201501171200	NaN
397	201501171300	NaN
398	201501171400	NaN
399	201501171500	NaN
400	201501171600	NaN
401	201501171700	NaN
402	201501171800	NaN
403	201501171900	NaN
404	201501172000	NaN
405	201501172100	NaN
406	201501172200	NaN
407	201501172300	NaN
408	201501180000	NaN
409	201501180100	NaN
410	201501180200	NaN
411	201501180300	NaN
412	201501180400	NaN
413	201501180500	NaN
414	201501180600	NaN
415	201501180700	NaN
416	201501180800	NaN
417	201501180900	NaN
418	201501181000	NaN
419	201501181100	NaN
420	201501181200	NaN
421	201501181300	NaN
422	201501181400	NaN
423	201501181500	NaN
424	201501181600	NaN
425	201501181700	NaN
426	201501181800	NaN
427	201501181900	NaN
428	201501182000	NaN
429	201501182100	NaN
430	201501182200	NaN
431	201501182300	NaN
432	201501190000	NaN
433	201501190100	NaN
434	201501190200	NaN
435	201501190300	NaN
436	201501190400	NaN
437	201501190500	NaN
438	201501190600	NaN
439	201501190700	NaN
440	201501190800	NaN
441	201501190900	NaN
442	201501191000	NaN
443	201501191100	NaN
444	201501191200	NaN
445	201501191300	NaN
446	201501191400	NaN
447	201501191500	NaN
448	201501191600	NaN
449	201501191700	NaN
450	201501191800	NaN
451	201501191900	NaN
452	201501192000	NaN
453	201501192100	NaN
454	201501192200	NaN
455	201501192300	NaN
456	201501200000	NaN
457	201501200100	NaN
458	201501200200	NaN
459	201501200300	NaN
460	201501200400	NaN
461	201501200500	NaN
462	201501200600	NaN
463	201501200700	NaN
464	201501200800	NaN
465	201501200900	NaN
466	201501201000	NaN
467	201501201100	NaN
468	201501201200	NaN
469	201501201300	NaN
470	201501201400	NaN
471	201501201500	NaN
472	201501201600	NaN
473	201501201700	NaN
474	201501201800	NaN
475	201501201900	NaN
476	201501202000	NaN
477	201501202100	NaN
478	201501202200	NaN
479	201501202300	NaN
480	201501210000	NaN
481	201501210100	NaN
482	201501210200	NaN
483	201501210300	NaN
484	201501210400	NaN
485	201501210500	NaN
